index	exam_type	title	answer1	answer2	right
754	30	Сколько листьев у ландыша?	Два	Четрые	1
755	30	Сколько суток составляют високосный год?... 	366 суток	367 суток	1
756	30	Какой цветок до сих пор считают символом Японии и самого Солнца?	Ромашка	Хризантема	2
757	30	Какое растение считалось священным у славян и отвечало за силу и достаток?	Берёза	Дуб	2
758	30	Первая изданная Международная Красная книга в мире появилась в …	1996 году	1966 году	2
759	30	Какую рыбу называют «водяной свиньей»?	Карась	Карп	2
760	30	Как называется активная оболочка Земли, которая населена живыми организмами?	Биосфера	Стратосфера	1
761	30	Какое растение называют «живым светофором»	Медуница	Ромашка	1
762	30	Где вода стоит столбом?	В стакане	в ванне	1
763	30	Чем их больше, тем масса меньше. Что это?	Бочки	Дырки	2
764	30	Под каким деревом сидит заяц, когда идет дождь? 	Под сухим	Под мокрым	2
765	30	На какой вопрос нельзя дать положительный ответ?	Ты спишь?	Ты дома?	1
766	30	Что можно видеть с закрытыми глазами? 	Сон	Темноту	1
767	30	Какое молоко никто не пил?	Птичье	Парное	1
768	30	Что бросают тогда, когда это необходимо, и поднимают тогда, когда это уже не нужно?	Деньги	Якорь	2
769	30	В каком году люди едят больше обычного? 	1999 году	 В високосном	2
770	30	У какой страны флаг в виде обычного зеленого полотна?	Латвии	Ливии	2
771	30	Кто из футболистов утверждал, что "играть надо ногами, а думать – головой"	Пеле	Рональду	1
772	30	Чем кроме флагов часто размахивают болельщики на трибунах?	Руки	Шарфы	2
773	30	Вы находитесь в самолете, перед вами лошадь, сзади вас - автомобиль. Где вы находитесь?	На карусели	в Зоопарке	1
774	30	Как называется слой в атмосфере, защищающий землю от ультрафиолетового излучения?	Атмосферный слой	Озоновый слой	2
775	30	Газ, который образуется в процессе фотосинтеза растений?	Азот	Кислород	2
776	30	Высочайшая точка над уровнем моря в Африке? 	Кат-Тара	Килиманджаро	2
777	30	Какую птицу называют лесным доктором?	Дятел	Конорейка	1
778	30	Как называется водная оболочка земли? 	Атмосфера	Гидросфера	2
779	30	Самое глубокое пресноводное озеро в мире	о.Байкал	о.Ньяса	1
780	30	В какой стране используется своя система знаков?	в Китае	в Японии	1
781	30	В какой стране нет официально установленных правил дорожного движения?	в Гвинее	в Африке	1
782	30	В каком году появилось первое в мире водительское удостоверение?	1993	1893	2
783	30	В какой стране на знаках чаще используются текстовые сообщения вместо условных обозначений?	в Казахстане	в США	2
784	30	В каком городе было принято решении о введении единых правил дорожного движения для всей Европы? 	В России	В Париже	2
785	30	Что разбил Миша в сказке «Леденец», когда лез за лакомством?	Сахарницу	Вазу	1
786	30	Где впервые начали украшать елку еще в Средневековье?	В Германии	В Китае	2
787	30	В каком мультфильме исполняется песня «Чунга-Чанга»?	«Катерок»	«Веторок»	1
788	30	Этой мультипликационный герой родился на Луне, а потом очутился на Земле. Назовите его.	Незнайка	Лунтик	2
789	30	С латинского языка название этого инструмента переводится как «дуновение»	Флейта	Дудка	1
790	30	Какая богиня в Древней Греции покровительствовала музыкальному искусству?	Дева	 Эвтерпа	2
791	30	Этот музыкальный инструмент очень похож на огромное крыло бабочки. Что это за инструмент?	Арфа	Скрипка	1
792	30	Из какого вечнозеленого дерева делают пианино и скрипки?	Сосна	Ель	2
793	30	Этого зверька, который любит поспать, Людвиг ванн Бетховен воспел в своей песне	Хорёк	Сурок	2
794	30	Как называется день перед началом Масленничной недели?	Мясное воскресенье	Жирный вторник	1
795	30	Как называется аналог Масленицы у католиков и лютеран?	Жирный вторник	Мясное воскресенье	1
796	30	Какой патриарх сократил празднование Масленицы до одной недели?	Петросян	Адриан	2
797	30	Кто автор пьесы "Не всё коту масленица"?	А. Островский	Ф.М.Достоевский	1
798	30	Сколько лет было Анне Карениной на момент ее гибели в произведении Л.Н.Толстого?	18 лет	28 лет	2
799	30	Какой перевод у слова «мцыри», одноименного произведения М.Ю. Лермонтова?	Послушник	Источник	1
800	30	Кому принадлежит выражение: «Краткость – сестра таланта»	А.П.Чехов	А.С.Пушкин	1
801	30	Он знаком многим. Был и художником, и доктором, и путешественником, и космонавтом. Кто это?	Леонардо Да Винчи	Незнайка	2
802	30	Сколько лет пролежал на печи известный богатырь Илья Муромец? 	15 лет и 3 года	30 лет и 3 года	2
803	30	Как называется ближайшая к Солнцу планета?	Юпитер	Меркурий	2
804	30	Какой астронавт был вторым (вслед за Леоновым) вышедшим в открытый космос?	Эдвард Уайт	Нил Армстронг	1
805	30	Кто стал первым "космическим туристом"?	Деннис Тито	Лоренсо	1
806	30	На какой максимальной высоте находился корабль во время полета Гагарина?	103 километра	302 километра	2
807	30	Какой ученый является изобретателем космической ракеты?	Циолковский	Маяковский	1
808	30	Какая страна первой запустила спутник?	СССР	США	1
809	30	Какая кинопремия вручается в Каннах?	«Золотая Лента»	«Золотая пальмовая ветвь»	2
810	30	Этот фильм в 1989 году стал вторым в прокате в советском кинематографе. Назовите фильм.	«Игла»	«Мгла»	1
811	30	Эта известная актриса в 70 лет сыграла в театре Джульетту. Назовите имя.	Оливия Хасси	Сара Бернар	2
812	30	Как называется первый голливудский цветной фильм?	«Жертвы»	«Жертвы моря»	2
813	30	На 95% снежинки состоят именно из этого. Из чего?	 Из воздуха	Из Льда	1
814	30	Про какой зимний месяц говорят, что он – весне дедушка?	Январь	Декабрь	1
815	30	Какой полюс холоднее – Северный или Южный?	Южный	Северный	1
816	30	Чем, согласно пословице, зимой не дорожат?	Снегом	Льдом	2
817	30	Сколько лучей у обычной снежинки?	6	8	1
818	30	Как в современном языке называют государство Бирма?	Инимай	Мьянма	2
819	30	Какой материк пересекается всеми меридианами?	Антарктида	Африка	1
820	30	Назовите самое соленое море в Мировом океане	Чёрное море	Красное море	2
821	30	Какой водопад в мире является самым высоким?	Каскад	Анхель	2
822	30	Как называют жителей города Смоленска в РФ?	Смоляне	Смол	1
823	30	Сколько, согласно пословице, весенний день кормит?	Век	Год	2
824	30	Какая часть растений первой отзывается на потепление весной?	Корни	Ствол	1
825	30	Какой весенний месяц в старину назывался травник?	Май	Март	1
826	30	Какой сок собирается весной?	Яблочный	Березовый	2
827	30	В каком году 9 мая стал выходным днем?	1945	1965	2
828	30	Какого числа произошло вторжение Германии в СССР?	22 июня 1941 г.	24 июня 1942 г.	1
829	30	Какого числа в Японии отмечают День девочек?	двадцать третьего февраля	Третьего марта	2
830	30	Когда отмечается Международный день красоты?	Девятого сентября	Восьмого марта	1
831	30	Как зовут Деда Мороза на Кипре?	Иван	Василий	2
832	30	Где впервые появились елочные игрушки из стекла?	Китае	В Швеции	2
833	30	Самая «солнечная» фигура в геометрии? 	Треугольник	Луч	2
834	30	Кто получил первую Нобелевскую премию по физике?	В.Рентген	С.Ч.Тинг (Дин) 	1
835	30	Драть ее – значит кричать	Рука	Глотка	2
836	30	Ее “гранит” грызут все, кто следует принципу “век живи – век учись”	Книга	Наука	2
837	30	Ее “тянут”, когда слишком долго не начинают	Резина	Руку	1
838	30	Раздели с другом, а ужин отдай врагу	Завтрак	Обед	2
839	30	Вес соли, съеденной при крепкой дружбе	Пуд	Килограмм	1
840	30	Что изобрели раньше - радио или телевизор?	Телевизор	Радио	2
841	30	Точило для камня	Капля	Заточка	1
842	30	Сколько чатов имеется в игре?	7	5	1
843	30	Флаг какой страны не красно-бело-голубой?	Франция	Израиль	2
844	30	Небольшая повозка.	Вагон	Тележка	2
845	30	Не является мировой религией	Зороастризм	Буддизм	1
846	30	Яд для дружбы, по мнению Оноре Бальзака.	Себялюбие	False	1
847	30	В какой игре говорят: «Кто за мной стоит, тому три кона водить»?	Прятки	Море волнуется	1
848	30	Какой гриб дымится, если на него наступить?	Белый гриб	Дождевик	2
849	30	Какой овощ стал первым генно-модифицированным?	Огурец	Помидор	2
850	30	Где черкесские мужчины носили газыри?	На груди	На ушах	1
851	30	Какое жилище строят чукчи?	Хибару	Ярангу	2
852	30	Какой из этиx городов существует?	Антананариву	Калач-на-Оке	1
853	30	Какая самая длинная река на западном полушарии?	Нил	Амазонка	2
854	30	Сколько звезд на флаге Новой Зеландии?	4 звезды	12 звезд	1
855	30	Со сколькими странами граничит Испания?	17 стран	5 стран	2
856	30	Под каким мостом по легенде пролетел Чкалов?	Аничков	Троицкий	2
857	30	Какая из этих фобий заключается в навязчивой боязни инфекций?	Клаустрофобия	Мезофобия	2
858	30	Какого статуса своиx домов сумели добиться от властей англичане?	Крепость	Берлога	1
859	30	Как на Руси до XIV века назывался городской кремль?	Детинец	Сторожка	1
860	30	Родина Колумба?	Генуя	Америка	1
861	30	Какая посуда должна просвечивать в тонких местах?	Эмалированная	Фарфоровая	2
862	30	Как в кириллице называлась буква Р?	Рык	Рцы	2
863	30	Животное - эталон тонкой талии	Оса	Змея	1
864	30	Очень крепкий чай	Чефир	Заварка	1
865	30	Какой сплав состоит в основном из меди и цинка?	Латунь	Чугун	1
866	30	Какая гора - наивысшая точка Кавказа?	Эверест	Эльбрус	2
867	30	Вариант японского письма.	Хирагана	Йокошима	1
868	30	Прокладка, герметизирующая зазор.	Пенник	Сальник	2
869	30	Что такое пестрядь?	Рыба	Ткань	2
870	30	Чьё произведение стало основой современного гимна Австрии?	Бах	Моцарт	2
871	30	В какой области советские учёные наибольшее число раз получали Нобелевскую премию?	Физика	Химия	1
872	30	Кем по профессии был отец Леонардо да Винчи?	Нотариусом	Биологом	1
873	30	Какая из этих ягод дала название семейству растений?	Брусника	Ежевика	1
874	30	В какой республике СССР родилась певица Анна Герман?	Таджикской	Узбекской	2
875	30	Сколько существует видов черепах?	1520 видов	230 видов	2
876	30	К какому царству живой природы относятся кораллы?	Животные	Растения	1
877	30	Название какой единицы времени произошло от латинского слова "маленький"?	Секунда	Минута	2
878	30	Где родилась певица Шакира?	В Колумбии	В Шотландии	1
879	30	Таджикские лепешки из опарного теста.	Шаурма	Ширмоль	2
880	30	Кем Аполлону приходилась Артемида?	Сестра	Мать	1
881	30	Что такое демантоид?	Вид болезни	Драгоценный камень	2
882	30	В какой области находится город Миргород?	Волгоградская	Полтавская	2
883	30	Какую реку называют "жёлтой рекой"?	Амур	Хуанхэ	2
884	30	Кого убил Геракл, совершая свой первый подвиг?	Немейского льва	Медузу Гаргону	1
885	30	Море, на котором стоит порт Владивосток.	Японское	Средиземное	1
886	30	Рыба, которая мечет икру только в Саргассовом море.	Угорь	Лосось	1
887	30	Сколько полос было на первом флаге США?	23 полосы	13 полос	2
888	30	Какой газ обнаружен сначала на Солнце, и лишь через четверть века - на Земле?	Водород	Гелий	2
889	30	Что доставал из широких штанин лирический герой Маяковского?	Паспорт	Пистолет	1
890	30	Какова примерная длина Панамского канала?	122 км.	82 км.	2
891	30	Какая страна запустила первую межпланетную космическую станцию к Венере?	СССР	США	1
892	30	Какое из транспортных колец Москвы не замкнуто?	Садовое	Бульварное	2
893	30	Где находится самая маленькая мышца человеческого тела?	В ухе	В ноге	1
894	30	Национальным головным убором какой страны является панама?	Чили	Эквадор	2
895	30	Кого или что ненавидит мизантроп?	Насекомых	Людей	2
896	30	Кто из перечисленных змея?	Цербер	Нагаина	2
897	30	Как называется швейцарская валюта?	Франк	Цент	1
898	30	Где зародился танец румба?	На Кубе	В Аргентине	1
899	30	Из какого языка пришло в русский язык слово "караван"?	Арабский	Персидский	2
900	30	Какой музыкальный темп соответствует спокойному шагу?	Анданте	Рондо	1
